"id","code","name","industry_id:id"
ciiu_code_0,"0510","EXTRACCIÓN DE HULLA (CARBÓN DE PIEDRA)","base.res_partner_industry_B"
ciiu_code_1,"0520","EXTRACCIÓN DE CARBÓN LIGNITO","base.res_partner_industry_B"
ciiu_code_2,"0610","EXTRACCIÓN DE PETRÓLEO CRUDO","base.res_partner_industry_B"
ciiu_code_3,"0620","EXTRACCIÓN DE GAS NATURAL","base.res_partner_industry_B"
ciiu_code_4,"0710","EXTRACCIÓN DE MINERALES DE HIERRO","base.res_partner_industry_B"
ciiu_code_5,"0721","EXTRACCIÓN DE MINERALES DE URANIO Y DE TORIO","base.res_partner_industry_B"
ciiu_code_6,"0722","EXTRACCIÓN DE ORO Y OTROS METALES PRECIOSOS","base.res_partner_industry_B"
ciiu_code_7,"0811","EXTRACCIÓN DE PIEDRA, ARENA, ARCILLAS COMUNES, YESO Y ANHIDRITA","base.res_partner_industry_B"
ciiu_code_8,"0812","EXTRACCIÓN DE ARCILLAS DE USO INDUSTRIAL, CALIZA, CAOLÍN Y BENTONITAS","base.res_partner_industry_B"
ciiu_code_9,"0820","EXTRACCIÓN DE ESMERALDAS, PIEDRAS PRECIOSAS Y SEMIPRECIOSAS","base.res_partner_industry_B"
ciiu_code_10,"0891","EXTRACCIÓN DE MINERALES PARA LA FABRICACIÓN DE ABONOS Y PRODUCTOS QUÍMICOS","base.res_partner_industry_B"
ciiu_code_11,"0892","EXTRACCIÓN DE HALITA (SAL)","base.res_partner_industry_B"
ciiu_code_12,"0899","EXTRACCIÓN DE OTROS MINERALES NO METÁLICOS N.C.P.","base.res_partner_industry_B"
ciiu_code_13,"0910","Activ DE APOYO PARA LA EXTRACCIÓN DE PETRÓLEO Y DE GAS NATURAL","base.res_partner_industry_B"
ciiu_code_14,"0990","Activ DE APOYO PARA OTRAS Activ DE EXPLOTACIÓN DE MINAS Y CANTERAS","base.res_partner_industry_B"
ciiu_code_15,"1610","ASERRADO, ACEPILLADO E IMPREGNACIÓN DE LA MADERA","base.res_partner_industry_C"
ciiu_code_16,"1620","FABRICACIÓN DE HOJAS DE MADERA PARA ENCHAPADO; FABRICACIÓN DE TABLEROS CONTRACHAPADOS, TABLEROS LAMINADOS, TABLEROS DE PARTÍCULAS Y OTROS TABLEROS Y PANELES","base.res_partner_industry_C"
ciiu_code_17,"1630","FABRICACIÓN DE PARTES Y PIEZAS DE MADERA, DE CARPINTERÍA Y EBANISTERÍA PARA LA CONSTRUCCIÓN","base.res_partner_industry_C"
ciiu_code_18,"1640","FABRICACIÓN DE RECIPIENTES DE MADERA","base.res_partner_industry_C"
ciiu_code_19,"1690","FABRICACIÓN DE OTROS PRODUCTOS DE MADERA; FABRICACIÓN DE ARTÍCULOS DE CORCHO, CESTERÍA Y ESPARTERÍA","base.res_partner_industry_C"
ciiu_code_20,"1701","FABRICACIÓN DE PULPAS (PASTAS) CELULÓSICAS; PAPEL Y CARTÓN","base.res_partner_industry_C"
ciiu_code_21,"1702","FABRICACIÓN DE PAPEL Y CARTÓN ONDULADO (CORRUGADO); FABRICACIÓN DE ENVASES, EMPAQUES Y DE EMBALAJES DE PAPEL Y CARTÓN.","base.res_partner_industry_C"
ciiu_code_22,"1709","FABRICACIÓN DE OTROS ARTÍCULOS DE PAPEL Y CARTÓN","base.res_partner_industry_C"
